,prompt,A,B,C,D,answer,queries
96056,A cow will gain energy from eating,dandelions,eggs,frogs,birds,A,"what is the best possible answer for this question: A cow will gain energy from eating
 (A) eggs
 (B) eggs
 (C) frogs
 (D) birds
"
95121,Mice live in holes where?,pastureland,lakes,oceans,skyscrapers,A,"what is the best possible answer for this question: Mice live in holes where?
 (A) lakes
 (B) lakes
 (C) oceans
 (D) skyscrapers
"
95507,Jackrabbits' hind legs are,weak,stubby,elongated,short,C,"what is the best possible answer for this question: Jackrabbits' hind legs are
 (A) stubby
 (B) stubby
 (C) elongated
 (D) short
"
94594,The skeletal system protects,pancreas,toenails,eyes,hair,A,"what is the best possible answer for this question: The skeletal system protects
 (A) toenails
 (B) toenails
 (C) eyes
 (D) hair
"
97905,Iron sticks to,a ceramic throne,a fridge,a vitamin,a beanie baby,B,"what is the best possible answer for this question: Iron sticks to
 (A) a fridge
 (B) a fridge
 (C) a vitamin
 (D) a beanie baby
"
98472,Which would be considered exhaustible?,solar,oil,wind,water,B,"what is the best possible answer for this question: Which would be considered exhaustible?
 (A) oil
 (B) oil
 (C) wind
 (D) water
"
94307,Magnifying makes it easier to see a,whale,tree,bear,shrimp,D,"what is the best possible answer for this question: Magnifying makes it easier to see a
 (A) tree
 (B) tree
 (C) bear
 (D) shrimp
"
94965,H2O allows for the conduction of,electrical potential,land,neurons,people,A,"what is the best possible answer for this question: H2O allows for the conduction of
 (A) land
 (B) land
 (C) neurons
 (D) people
"
96923,This is likely to be an insulator,a flip flop,a can,water,a car,A,"what is the best possible answer for this question: This is likely to be an insulator
 (A) a can
 (B) a can
 (C) water
 (D) a car
"
95424,The atmosphere is made of 78% what?,N,fire,clouds,wind,A,"what is the best possible answer for this question: The atmosphere is made of 78% what?
 (A) fire
 (B) fire
 (C) clouds
 (D) wind
"
97622,Which is a producer?,cloudy mornings,vinyl,team Alicia,strawberries,D,"what is the best possible answer for this question: Which is a producer?
 (A) vinyl
 (B) vinyl
 (C) team Alicia
 (D) strawberries
"
97804,A producer produces it's own,nourishment,plays,rhythm,heartbeat,A,"what is the best possible answer for this question: A producer produces it's own
 (A) plays
 (B) plays
 (C) rhythm
 (D) heartbeat
"
97871,Nocturnal predators hunt when?,sleep time,midday,morning,noon,A,"what is the best possible answer for this question: Nocturnal predators hunt when?
 (A) midday
 (B) midday
 (C) morning
 (D) noon
"
96660,Wood is generally dried out for,dogs,turtles,beds,cats,C,"what is the best possible answer for this question: Wood is generally dried out for
 (A) turtles
 (B) turtles
 (C) beds
 (D) cats
"
97402,two females are incapable of,conjuring kin,talk,dance,jog together,A,"what is the best possible answer for this question: two females are incapable of
 (A) talk
 (B) talk
 (C) dance
 (D) jog together
"
97151,moist means high in what?,wetness,warmth,depth,temperature,A,"what is the best possible answer for this question: moist means high in what?
 (A) warmth
 (B) warmth
 (C) depth
 (D) temperature
"
98313,Animals adapt to their what?,appearance,feet,skin,nature places,D,"what is the best possible answer for this question: Animals adapt to their what?
 (A) feet
 (B) feet
 (C) skin
 (D) nature places
"
4353,Which object is nonliving?,bear,bicycle,bird,butterfly,B,"what is the best possible answer for this question: Which object is nonliving?
 (A) bicycle
 (B) bicycle
 (C) bird
 (D) butterfly
"
95389,Plants in an incinerator would,petrify,freeze,wilt,cremate,D,"what is the best possible answer for this question: Plants in an incinerator would
 (A) freeze
 (B) freeze
 (C) wilt
 (D) cremate
"
96861,Kelp has to have provisions to,maintain life,die,hibernate,relocate,A,"what is the best possible answer for this question: Kelp has to have provisions to
 (A) die
 (B) die
 (C) hibernate
 (D) relocate
"
94320,A calf that dies will eventually,disintegrate,fall,starve,wrinkle,A,"what is the best possible answer for this question: A calf that dies will eventually
 (A) fall
 (B) fall
 (C) starve
 (D) wrinkle
"
97490,oceans contains most of earth 's,wet sustenance,trees,clouds,shoes,A,"what is the best possible answer for this question: oceans contains most of earth 's
 (A) trees
 (B) trees
 (C) clouds
 (D) shoes
"
98106,A cousin to the mole survives on,plants,rocks,rats,rabbits,A,"what is the best possible answer for this question: A cousin to the mole survives on
 (A) rocks
 (B) rocks
 (C) rats
 (D) rabbits
"
96275,A salamander is,extinct,bipedal,cold blooded,warm blooded,C,"what is the best possible answer for this question: A salamander is
 (A) bipedal
 (B) bipedal
 (C) cold blooded
 (D) warm blooded
"
1322,What is the basic unit of life?,atom,cell,element,nucleus,B,"what is the best possible answer for this question: What is the basic unit of life?
 (A) cell
 (B) cell
 (C) element
 (D) nucleus
"
93818,What item's housing is made of metal?,butter,cola,tea,syrup,B,"what is the best possible answer for this question: What item's housing is made of metal?
 (A) cola
 (B) cola
 (C) tea
 (D) syrup
"
95316,Shrews are hunted by,horses,butterflies,deer,raptors,D,"what is the best possible answer for this question: Shrews are hunted by
 (A) butterflies
 (B) butterflies
 (C) deer
 (D) raptors
"
96186,A deer would prefer to eat,Metal,Cucumbers,Pigs,Chalk,B,"what is the best possible answer for this question: A deer would prefer to eat
 (A) Cucumbers
 (B) Cucumbers
 (C) Pigs
 (D) Chalk
"
95691,What does a hand dryer produce?,growth,money,carbs,hotness,D,"what is the best possible answer for this question: What does a hand dryer produce?
 (A) money
 (B) money
 (C) carbs
 (D) hotness
"
98074,You find iron in,pure water,helium,our planet's crust,a cloud,C,"what is the best possible answer for this question: You find iron in
 (A) helium
 (B) helium
 (C) our planet's crust
 (D) a cloud
"
2009,Which of these is a mixture?,salt water,sugar,water vapor,salt,A,"what is the best possible answer for this question: Which of these is a mixture?
 (A) sugar
 (B) sugar
 (C) water vapor
 (D) salt
"
94648,Bugs are sometimes eaten by,blue jays,whales,elephants,aphids,A,"what is the best possible answer for this question: Bugs are sometimes eaten by
 (A) whales
 (B) whales
 (C) elephants
 (D) aphids
"
94052,What makes the best wiring?,rope,Tungsten,hemp,plastic,B,"what is the best possible answer for this question: What makes the best wiring?
 (A) Tungsten
 (B) Tungsten
 (C) hemp
 (D) plastic
"
95164,Water is a recyclable,commodity,lubricant,revenue,treasure,A,"what is the best possible answer for this question: Water is a recyclable
 (A) lubricant
 (B) lubricant
 (C) revenue
 (D) treasure
"
97143,An animals brain controls what?,said organism,others,plants,fauna,A,"what is the best possible answer for this question: An animals brain controls what?
 (A) others
 (B) others
 (C) plants
 (D) fauna
"
95455,Which eats dead organisms?,Canadian nightcrawlers,clouds,satellites,robots,A,"what is the best possible answer for this question: Which eats dead organisms?
 (A) clouds
 (B) clouds
 (C) satellites
 (D) robots
"
97313,glucose causes food to taste,wet,like candy,dry,hot,B,"what is the best possible answer for this question: glucose causes food to taste
 (A) like candy
 (B) like candy
 (C) dry
 (D) hot
"
94088,Arctic animals often live on,ice,soil,liquid water,plants,A,"what is the best possible answer for this question: Arctic animals often live on
 (A) soil
 (B) soil
 (C) liquid water
 (D) plants
"
94124,What are a source of fibers?,water,plantlife,rocks,air,B,"what is the best possible answer for this question: What are a source of fibers?
 (A) plantlife
 (B) plantlife
 (C) rocks
 (D) air
"
97647,Who can hear sounds?,boulders,giraffes,rocks,stone statues,B,"what is the best possible answer for this question: Who can hear sounds?
 (A) giraffes
 (B) giraffes
 (C) rocks
 (D) stone statues
"
97491,A monkey births live what?,hares,younglings,rats,dogs,B,"what is the best possible answer for this question: A monkey births live what?
 (A) younglings
 (B) younglings
 (C) rats
 (D) dogs
"
4391,The seeds of an oak come from the ___.,fruit,leaf,root,stem,A,"what is the best possible answer for this question: The seeds of an oak come from the ___.
 (A) leaf
 (B) leaf
 (C) root
 (D) stem
"
93984,The wolf raises his family near a,den,field,tree,mother.,A,"what is the best possible answer for this question: The wolf raises his family near a
 (A) field
 (B) field
 (C) tree
 (D) mother.
"
94014,"Birds eat nuts, but sometimes they eat",wolves,bugs,dogs,cats,B,"what is the best possible answer for this question: Birds eat nuts, but sometimes they eat
 (A) bugs
 (B) bugs
 (C) dogs
 (D) cats
"
93562,"When ice melts, it becomes a",gas.,solid.,liquid.,plasma.,C,"what is the best possible answer for this question: When ice melts, it becomes a
 (A) solid.
 (B) solid.
 (C) liquid.
 (D) plasma.
"
96813,What is oil likely comprised of?,homo sapiens,air,soil,brontosaurus,D,"what is the best possible answer for this question: What is oil likely comprised of?
 (A) air
 (B) air
 (C) soil
 (D) brontosaurus
"
95467,Sea horses require,leather harnesses,jockeys,black stallions,the sun,D,"what is the best possible answer for this question: Sea horses require
 (A) jockeys
 (B) jockeys
 (C) black stallions
 (D) the sun
"
94514,What is most like a mirror?,grasslands,deserts,oceans,forests,C,"what is the best possible answer for this question: What is most like a mirror?
 (A) deserts
 (B) deserts
 (C) oceans
 (D) forests
"
93837,Seeds travel by,Fish,Word of mouth,Knowledge,Boat,A,"what is the best possible answer for this question: Seeds travel by
 (A) Word of mouth
 (B) Word of mouth
 (C) Knowledge
 (D) Boat
"
96242,What might be harder to digest?,corn,spinach,water,eggs,A,"what is the best possible answer for this question: What might be harder to digest?
 (A) spinach
 (B) spinach
 (C) water
 (D) eggs
"
94229,A producer makes its own what?,air,grass,body,sustenance,D,"what is the best possible answer for this question: A producer makes its own what?
 (A) grass
 (B) grass
 (C) body
 (D) sustenance
"
95179,Gravitational force never affects,balloons,stars,sunshine,air,C,"what is the best possible answer for this question: Gravitational force never affects
 (A) stars
 (B) stars
 (C) sunshine
 (D) air
"
94767,A white bear lives in a place that is,hot,cold,dark,dense,B,"what is the best possible answer for this question: A white bear lives in a place that is
 (A) cold
 (B) cold
 (C) dark
 (D) dense
"
93765,A magnet would attract a,Wooden hairbrush,Oranges,Glassware,Zippers,D,"what is the best possible answer for this question: A magnet would attract a
 (A) Oranges
 (B) Oranges
 (C) Glassware
 (D) Zippers
"
94406,How do Remora get their food?,catch it,scavenge,hunt,steal,B,"what is the best possible answer for this question: How do Remora get their food?
 (A) scavenge
 (B) scavenge
 (C) hunt
 (D) steal
"
97553,A mother births what?,light,elements,younglings,nothing,C,"what is the best possible answer for this question: A mother births what?
 (A) elements
 (B) elements
 (C) younglings
 (D) nothing
"
96680,Candy disintegrates in,sand,a pool,a dry bowl,the fridge,B,"what is the best possible answer for this question: Candy disintegrates in
 (A) a pool
 (B) a pool
 (C) a dry bowl
 (D) the fridge
"
97027,Adding milk to a hot pan creates,rice,water,fairies,curds,D,"what is the best possible answer for this question: Adding milk to a hot pan creates
 (A) water
 (B) water
 (C) fairies
 (D) curds
"
96437,The tree trunk is what holds up the,sky,roots,sky,leaves,D,"what is the best possible answer for this question: The tree trunk is what holds up the
 (A) roots
 (B) roots
 (C) sky
 (D) leaves
"
96444,If steam chills then the vapor will,burn,melt,boil,thicken,D,"what is the best possible answer for this question: If steam chills then the vapor will
 (A) melt
 (B) melt
 (C) boil
 (D) thicken
"
2281,Sound waves travel fastest in,air.,iron.,water.,a vacuum.,B,"what is the best possible answer for this question: Sound waves travel fastest in
 (A) iron.
 (B) iron.
 (C) water.
 (D) a vacuum.
"
96880,If a log is cold it is in,an oven,a fire,a toaster,a tundra,D,"what is the best possible answer for this question: If a log is cold it is in
 (A) a fire
 (B) a fire
 (C) a toaster
 (D) a tundra
"
95245,glass crystals will cause light to,go out,dim,deflect,brighten,C,"what is the best possible answer for this question: glass crystals will cause light to
 (A) dim
 (B) dim
 (C) deflect
 (D) brighten
"
94255,Jim found birds living among,gravel,space,cactus,ocean floor,C,"what is the best possible answer for this question: Jim found birds living among
 (A) space
 (B) space
 (C) cactus
 (D) ocean floor
"
92559,What chemical symbol represents the element iron?,Fe,I,Ir,Pb,A,"what is the best possible answer for this question: What chemical symbol represents the element iron?
 (A) I
 (B) I
 (C) Ir
 (D) Pb
"
97994,This seed carries food:,rock,strawberry,thunder,water,B,"what is the best possible answer for this question: This seed carries food:
 (A) strawberry
 (B) strawberry
 (C) thunder
 (D) water
"
97501,An example of a conductor might be,carrots,wood,a nickel,magic,C,"what is the best possible answer for this question: An example of a conductor might be
 (A) wood
 (B) wood
 (C) a nickel
 (D) magic
"
95131,What can perform photosynthesis?,animals,people,water,shrubs,D,"what is the best possible answer for this question: What can perform photosynthesis?
 (A) people
 (B) people
 (C) water
 (D) shrubs
"
97586,amphibians hatch from,trees,rocks,the sky,calcium life pods,D,"what is the best possible answer for this question: amphibians hatch from
 (A) rocks
 (B) rocks
 (C) the sky
 (D) calcium life pods
"
96603,Waxy leaves can be considered,love,anger,happiness,clothes,D,"what is the best possible answer for this question: Waxy leaves can be considered
 (A) anger
 (B) anger
 (C) happiness
 (D) clothes
"
